id,numero,tipo,titulo,resumo,ano,cidade,categoria,fonte,url_oficial,texto_integral,data_publicacao,situacao,slug
278072875eca5299,1000777764,Artigo.Revista,Recurso do Ministério público do estado do Rio de Janeiro em face de decisão proferida pelo juízo de direito da 3ª vara da fazenda pública do estado do Rio de Janeiro,,2006,federal-rj,administrativa,LexML,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2006;1000777764,,,vigente,1000777764-recurso-do-ministerio-publico-do-estado-do-rio-de-janeiro-em-face-de-decisao-proferida-pelo-juizo-de-direito-
b52e3326af925795,1000687549,Artigo.Revista,O governo do Rio de Janeiro e a licitação do tipo melhor técnica,,2004,federal-rj,administrativa,LexML,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2004;1000687549,,,vigente,1000687549-o-governo-do-rio-de-janeiro-e-a-licitacao-do-tipo-melhor-tecnica
df00466197e4bb85,2000355360,Artigo.Revista,Critica ao projeto da constituição do estado do rio de janeiro,,1976,federal-rj,administrativa,LexML,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:artigo.revista:1976;2000355360,,,vigente,2000355360-critica-ao-projeto-da-constituicao-do-estado-do-rio-de-janeiro
b43e31cb51580202,1001200820,Artigo.Revista,Uma história do judiciário do Rio de Janeiro e do Brasil,,2019,federal-rj,administrativa,LexML,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2019;1001200820,,,vigente,1001200820-uma-historia-do-judiciario-do-rio-de-janeiro-e-do-brasil
35f09f7fb3d8cd08,1001079727,Artigo.Revista,A taxa única de serviços tributários do Rio de Janeiro intituída pela Lei 7.176/2015 e aspectos controvertidos,,2016,federal-rj,tributaria,LexML,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2016;1001079727,,,vigente,1001079727-a-taxa-unica-de-servicos-tributarios-do-rio-de-janeiro-intituida-pela-lei-7-176-2015-e-aspectos-controvertido
eea7f8a5ddd2b528,1000779191,Artigo.Revista,O serviço social no Ministério Público do Estado do Rio de Janeiro e o projeto ético político e profissional,,2006,federal-rj,social,LexML,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2006;1000779191,,,vigente,1000779191-o-servico-social-no-ministerio-publico-do-estado-do-rio-de-janeiro-e-o-projeto-etico-politico-e-profissional
88bb72755dd22522,1000577819,Artigo.Revista,Gestão Financeira do Estado do Rio de Janeiro-1994/1998,,1999,federal-rj,administrativa,LexML,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:artigo.revista:1999;1000577819,,,vigente,1000577819-gestao-financeira-do-estado-do-rio-de-janeiro-1994-1998
dbbbbc96a3353b9e,1000408289,Artigo.Revista,Voto e realinhamento eleitoral no rio de janeiro,,1984,federal-rj,administrativa,LexML,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:artigo.revista:1984;1000408289,,,vigente,1000408289-voto-e-realinhamento-eleitoral-no-rio-de-janeiro
74bf5101c2b41253,1000691424,Artigo.Revista,Observações sobre os limites constitucionais da concessão de pensão à filha de servidor público do estado do Rio de Janeiro,,2003,federal-rj,trabalhista,LexML,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:artigo.revista:2003;1000691424,,,vigente,1000691424-observacoes-sobre-os-limites-constitucionais-da-concessao-de-pensao-a-filha-de-servidor-publico-do-estado-do-
1cdce8ca5867496f,1545106-7251547,Acordao;Are,ARE 1545106 AgR / RJ - RIO DE JANEIRO,,2025,federal-rj,administrativa,LexML,https://www.lexml.gov.br/urn/urn:lex:br:supremo.tribunal.federal;plenario:acordao;are:2025-06-03;1545106-7251547,,,vigente,1545106-7251547-are-1545106-agr-rj-rio-de-janeiro
8742c95a73032764,000654803,Folheto,Falla apresentada à Assembléa Legislativa Provincial do Rio de Janeiro na sessão extraordinaria no dia 10 de julho de 1883,,1883,federal-rj,administrativa,LexML,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:folheto:1883;000654803,,,vigente,000654803-falla-apresentada-a-assemblea-legislativa-provincial-do-rio-de-janeiro-na-sessao-extraordinaria-no-dia-10-de-j
af53c8366a001589,000654807,Livro,Falla apresentada à Assembléa Legislativa Provincial do Rio de Janeiro na sessão extraordinaria no dia 9 de março de 1885,,1885,federal-rj,administrativa,LexML,https://www.lexml.gov.br/urn/urn:lex:br:rede.virtual.bibliotecas:livro:1885;000654807,,,vigente,000654807-falla-apresentada-a-assemblea-legislativa-provincial-do-rio-de-janeiro-na-sessao-extraordinaria-no-dia-9-de-ma
0fede03017072ecd,1446-6160174,Acordao;Sl,SL 1446 / RJ - RIO DE JANEIRO,,2023,federal-rj,administrativa,LexML,https://www.lexml.gov.br/urn/urn:lex:br:supremo.tribunal.federal;plenario:acordao;sl:2023-10-02;1446-6160174,,,vigente,1446-6160174-sl-1446-rj-rio-de-janeiro
